"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1443",1,0.260068796024942,-0.484,-0.042,0.11,0.066
"result.1444",1,0.229023916116097,-0.483,-0.049,0.11,0.066
"result.1445",0.999986412937219,0.0157506775480959,-0.449,-0.141,0.111,0.065
"result.1446",0.999609337880947,0.466634009238101,-0.37,-0.005,0.111,0.066
"result.1447",0.999386614547904,0.188640371129454,-0.353,-0.058,0.11,0.066
"result.1448",0.955178311175899,0.43729813163093,-0.185,-0.01,0.109,0.066
"result.1449",0.999857024010144,0.138558836555728,-0.4,-0.071,0.111,0.065
"result.1450",0.987456726411221,0.0881485305390671,-0.245,-0.089,0.11,0.066
"result.1451",0.986919723583053,0.835415861811814,-0.246,0.064,0.111,0.065
"result.1452",0.999657849944688,0.0270719929866475,-0.367,-0.129,0.109,0.067
"result.1453",0.999506189010042,0.136364818409179,-0.355,-0.073,0.108,0.067
"result.1454",0.963430514922346,0.143673049298847,-0.197,-0.07,0.11,0.065
"result.1455",0.869077095120831,0.00948606643884897,-0.122,-0.156,0.109,0.067
"result.1456",0.996170134466872,0.410463253985318,-0.288,-0.015,0.109,0.067
"result.1457",1,0.15036622700514,-0.494,-0.068,0.111,0.066
"result.1458",0.913617008344401,0.0938602607179385,-0.148,-0.087,0.109,0.066
"result.1459",0.960515319048101,0.0172575967400755,-0.193,-0.138,0.11,0.065
"result.1460",0.991064405523067,0.116160167692894,-0.257,-0.079,0.109,0.066
"result.1461",0.999483248199214,0.0959364804122519,-0.36,-0.086,0.11,0.066
"result.1462",1,0.00518143145696492,-0.503,-0.169,0.111,0.066
"result.1463",0.998770449421839,0.054664907410056,-0.335,-0.104,0.111,0.065
"result.1464",0.84071536909392,0.0317152242516585,-0.111,-0.121,0.111,0.065
"result.1465",0.999173550673135,0.00150774011431343,-0.344,-0.196,0.11,0.066
"result.1466",0.963431205855683,0.399764840397532,-0.197,-0.016,0.11,0.065
"result.1467",0.948017257960942,0.174452573359239,-0.178,-0.061,0.11,0.066
"result.1468",0.976903251187318,0.315394371524339,-0.218,-0.031,0.109,0.066
"result.1469",0.960598125069659,0.37951141640217,-0.19,-0.02,0.108,0.067
"result.1470",0.965392462659697,0.0662754419254648,-0.202,-0.098,0.111,0.065
"result.1471",0.760177505343234,0.101151930978781,-0.078,-0.084,0.11,0.066
"result.1472",0.636063938957163,0.63870397044936,-0.038,0.024,0.109,0.066
"result.1473",0.924395895055894,0.0933952051603211,-0.157,-0.087,0.11,0.066
"result.1474",0.895354081666014,0.241066588082414,-0.137,-0.046,0.109,0.066
"result.1475",0.907979960129431,0.0322752999826457,-0.144,-0.123,0.109,0.067
"result.1476",0.998489646407205,0.37206737543679,-0.325,-0.021,0.11,0.066
"result.1477",0.999853036802974,0.0151238589572954,-0.395,-0.143,0.11,0.066
"result.1478",0.999476561218063,0.115561603669353,-0.356,-0.079,0.109,0.066
"result.1479",0.999996433567282,0.175360722466272,-0.46,-0.062,0.11,0.066
"result.1480",0.941962833275936,0.00500923261714414,-0.172,-0.17,0.11,0.066
"result.1481",0.851174593250031,0.0606494413097162,-0.114,-0.102,0.11,0.066
"result.1482",0.999915363174699,0.654182176250164,-0.405,0.027,0.109,0.067
"result.1483",0.976692981226547,0.0809245474330899,-0.216,-0.093,0.109,0.066
"result.1484",0.997627926594787,0.449813245207872,-0.31,-0.008,0.11,0.066
"result.1485",0.999988578828343,0.0910756343774028,-0.449,-0.088,0.11,0.066
"result.1486",0.999855908191473,0.00151916685657738,-0.396,-0.195,0.11,0.066
"result.1487",0.964707227582037,0.0594221508624387,-0.199,-0.102,0.11,0.066
"result.1488",0.990870646029684,0.128025556825106,-0.257,-0.075,0.109,0.066
"result.1489",0.979648770321086,0.021208932971712,-0.222,-0.135,0.109,0.067
"result.1490",0.988347341345215,0.371091398714779,-0.25,-0.021,0.11,0.065
"result.1491",0.999083530433567,0.193425807910973,-0.343,-0.057,0.111,0.066
"result.1492",0.986685792249578,0.108848015553483,-0.243,-0.081,0.11,0.066
"result.1493",0.999371737476267,0.0053173121951211,-0.354,-0.169,0.11,0.066
"result.1494",0.86865787110327,0.0800014067629295,-0.123,-0.092,0.11,0.066
"result.1495",0.993254751998342,0.0707353905634277,-0.271,-0.097,0.11,0.066
"result.1496",0.801564907824858,0.625364400639654,-0.092,0.021,0.109,0.066
"result.1497",0.998802255915888,0.181919452531123,-0.335,-0.059,0.111,0.065
"result.1498",0.999142298520605,0.536327612782475,-0.343,0.006,0.11,0.066
"result.1499",1,0.321509144168436,-0.525,-0.031,0.11,0.066
"result.1500",0.987500252292619,0.480508502372762,-0.243,-0.003,0.109,0.067
"result.1501",0.995833986215584,0.224130936101902,-0.289,-0.05,0.11,0.066
"result.1502",0.939142747365832,0.0411190372582784,-0.169,-0.115,0.109,0.066
"result.1503",0.994241956226487,0.0314731215724171,-0.278,-0.12,0.111,0.065
"result.1504",0.996794927851658,0.207489059923014,-0.299,-0.053,0.11,0.065
"result.1505",0.997445824524052,0.381598745669507,-0.307,-0.02,0.11,0.066
"result.1506",0.998656146295708,0.0516648320847732,-0.329,-0.107,0.11,0.066
"result.1507",0.997616147196207,0.553967975779649,-0.312,0.009,0.111,0.065
"result.1508",0.989393840389289,0.0886908743079973,-0.254,-0.088,0.111,0.066
"result.1509",0.999020983678863,0.00603926846185754,-0.347,-0.163,0.112,0.065
"result.1510",0.999781526764069,0.379225601237962,-0.382,-0.02,0.109,0.066
"result.1511",0.99972079097239,0.0150090437635593,-0.378,-0.143,0.11,0.066
"result.1512",0.912985642757993,0.139028487650619,-0.151,-0.07,0.111,0.065
"result.1513",0.997508982954193,0.0217313701469032,-0.306,-0.134,0.109,0.066
"result.1514",0.999723109930408,0.0381884583842543,-0.371,-0.121,0.108,0.068
"result.1515",0.973515957252077,0.514473645543285,-0.21,0.003,0.109,0.067
"result.1516",0.999976982358623,0.441563205444162,-0.438,-0.009,0.11,0.066
"result.1517",0.999868998765915,0.000147491343283956,-0.392,-0.241,0.109,0.067
"result.1518",0.995214657545042,0.772930528113082,-0.285,0.049,0.11,0.066
"result.1519",0.999680733921168,0.798132823005783,-0.371,0.056,0.109,0.066
"result.1520",0.941657089520892,0.0106691411089214,-0.175,-0.15,0.112,0.065
"result.1521",0.995773297285966,0.536010481927826,-0.29,0.006,0.111,0.065
"result.1522",0.990923500572067,0.0392018257919851,-0.261,-0.114,0.111,0.065
"result.1523",0.988835992031273,0.327926538141961,-0.249,-0.029,0.109,0.066
"result.1524",0.999695172844747,0.147017933867533,-0.37,-0.07,0.109,0.067
"result.1525",0.740675053558145,0.29557350294733,-0.07,-0.035,0.108,0.066
"result.1526",0.995549456773434,0.137922902869823,-0.287,-0.071,0.11,0.065
"result.1527",0.999294824270377,0.83265860397428,-0.352,0.064,0.111,0.066
"result.1528",0.999850943288233,0.00233164010269704,-0.394,-0.187,0.11,0.066
"result.1529",0.744008509249286,0.079668334690185,-0.072,-0.093,0.109,0.066
"result.1530",0.980725510522576,0.883941263638519,-0.224,0.079,0.108,0.066
"result.1531",0.969885565960703,0.105271404594196,-0.202,-0.084,0.108,0.067
"result.1532",0.977201111685908,0.0366509117683851,-0.218,-0.118,0.109,0.066
"result.1533",0.920222353121834,0.670280664832088,-0.154,0.029,0.109,0.066
"result.1534",0.779926670610011,0.104342068928788,-0.084,-0.083,0.109,0.066
"result.1535",0.999826461200207,0.00942768934737814,-0.388,-0.155,0.109,0.066
"result.1536",0.716860226301441,0.348345460899802,-0.063,-0.025,0.11,0.065
"result.1537",0.999591017035196,0.527184019459124,-0.365,0.005,0.11,0.065
"result.1538",0.947788070127117,0.231129062824544,-0.179,-0.048,0.11,0.065
"result.1539",0.980444171622395,0.366432246725625,-0.225,-0.022,0.109,0.066
"result.1540",0.985331700765669,0.0401652758541164,-0.24,-0.114,0.111,0.065
"result.1541",0.821816936061903,0.00266059517596184,-0.101,-0.185,0.109,0.066
"result.1542",0.99710112627405,0.0831372769965355,-0.3,-0.092,0.109,0.066
"result.1543",0.999529830523653,0.0529265472143016,-0.37,-0.104,0.112,0.065
"result.1544",0.942185424276145,0.100203995872819,-0.173,-0.084,0.11,0.066
"result.1545",0.628076371231147,0.42289145808899,-0.036,-0.013,0.11,0.066
"result.1546",0.995531866039549,0.183620348243504,-0.286,-0.059,0.11,0.066
"result.1547",0.914713381173865,0.0105844469525983,-0.15,-0.151,0.11,0.066
"result.1548",0.966350348439879,0.133926387971391,-0.201,-0.072,0.11,0.066
"result.1549",0.983949238867181,0.157084119007979,-0.233,-0.067,0.109,0.067
"result.1550",0.997457740123285,0.0819993982614807,-0.305,-0.092,0.109,0.066
"result.1551",0.999082395073394,0.0420359709475276,-0.346,-0.112,0.111,0.065
"result.1552",0.996524507907277,0.430034378099664,-0.294,-0.012,0.109,0.066
"result.1553",0.999120981472147,0.297121272355479,-0.341,-0.035,0.109,0.066
"result.1554",0.985165288912522,0.0126557439783851,-0.237,-0.147,0.109,0.066
"result.1555",0.999837528161805,0.0562416181318302,-0.392,-0.105,0.11,0.066
"result.1556",0.920987925347725,0.0500103584544629,-0.152,-0.109,0.108,0.067
"result.1557",0.984545825878242,0.512334709135368,-0.237,0.002,0.11,0.066
"result.1558",0.992597257684499,0.257277461119619,-0.272,-0.042,0.112,0.065
"result.1559",0.852574776324151,0.0997805997148166,-0.115,-0.085,0.11,0.066
"result.1560",0.999968295117729,0.0552462173288487,-0.431,-0.105,0.11,0.066
"result.1561",1,0.361113976543113,-0.463,-0.024,0.108,0.067
"result.1562",0.994045002667692,0.519824497173255,-0.276,0.003,0.11,0.065
"result.1563",0.995589918850616,0.0317060014819696,-0.287,-0.121,0.11,0.065
"result.1564",0.999798001063045,0.024532710126057,-0.381,-0.133,0.108,0.068
"result.1565",0.36505511203349,0.464936621400645,0.038,-0.006,0.11,0.066
"result.1566",0.979688254857085,0.00807585096327568,-0.223,-0.158,0.109,0.066
"result.1567",0.999527758750002,0.21962397548291,-0.365,-0.05,0.111,0.065
"result.1568",0.999997451257399,0.0373041763482954,-0.461,-0.118,0.11,0.066
"result.1569",1,0.0844490425630039,-0.522,-0.091,0.111,0.066
"result.1570",0.912653095747378,0.748146800991339,-0.147,0.045,0.109,0.067
"result.1571",0.999437052166359,0.0874694521322241,-0.353,-0.09,0.109,0.066
"result.1572",0.999990413726022,0.506458685781179,-0.456,0.001,0.112,0.065
"result.1573",0.998676662539218,0.0588187065726336,-0.331,-0.102,0.111,0.065
"result.1574",0.999743369557647,0.790579616414278,-0.383,0.053,0.111,0.066
"result.1575",0.857081330224171,0.420713509116226,-0.118,-0.013,0.11,0.065
"result.1576",0.999690747006987,0.128725819877285,-0.373,-0.075,0.109,0.066
"result.1577",0.994243368499093,0.518004446503146,-0.28,0.003,0.111,0.066
"result.1578",1,0.0476486851275714,-0.476,-0.11,0.11,0.066
"result.1579",0.998876273064605,0.063284982285408,-0.341,-0.099,0.112,0.065
"result.1580",0.997928166460674,0.561573537893754,-0.314,0.01,0.11,0.066
"result.1581",0.953482584927865,0.241174152254338,-0.187,-0.046,0.111,0.065
"result.1582",0.97819955349138,0.025750799867462,-0.222,-0.128,0.11,0.066
"result.1583",0.959892383125129,0.0771107980394604,-0.19,-0.094,0.109,0.066
"result.1584",0.985076970740924,0.00717570506753773,-0.237,-0.162,0.11,0.066
"result.1585",0.772986942538431,0.540022762417537,-0.082,0.007,0.109,0.066
"result.1586",0.833145786446995,0.156042819007003,-0.105,-0.067,0.109,0.066
"result.1587",0.999806558355984,0.38898381018994,-0.386,-0.019,0.11,0.066
"result.1588",0.999939544044912,0.0770678756071413,-0.418,-0.093,0.111,0.066
"result.1589",0.991306546054314,0.135096869717561,-0.261,-0.072,0.11,0.066
"result.1590",0.999659706084477,0.330440067180519,-0.378,-0.028,0.112,0.065
"result.1591",0.999833873425009,0.114203798719821,-0.388,-0.08,0.109,0.066
"result.1592",0.999951630710176,0.159920814330631,-0.424,-0.065,0.111,0.066
"result.1593",0.999560138347372,0.0156377809984223,-0.365,-0.141,0.11,0.066
"result.1594",0.990022459589325,0.0924712397335656,-0.253,-0.088,0.109,0.067
"result.1595",0.912278099557792,0.0831617129065042,-0.148,-0.091,0.11,0.066
"result.1596",0.920253608744895,0.534791132084731,-0.154,0.006,0.11,0.066
"result.1597",0.949620744789851,0.102782885046377,-0.181,-0.083,0.11,0.066
"result.1598",0.989506331242452,0.199953917505462,-0.254,-0.055,0.11,0.066
"result.1599",0.994213479548293,0.0475565170092529,-0.276,-0.11,0.11,0.066
"result.1600",0.918163305064026,0.122983297056642,-0.153,-0.076,0.11,0.066
"result.1601",0.983773104054901,0.41543262919958,-0.234,-0.014,0.11,0.066
"result.1602",0.999270333372408,0.119333277579257,-0.344,-0.079,0.108,0.067
"result.1603",1,0.142070596706928,-0.472,-0.071,0.11,0.066
"result.1604",0.981982083214273,0.385926561887314,-0.229,-0.019,0.11,0.066
"result.1605",0.990091408331949,0.201380046813747,-0.256,-0.055,0.11,0.066
"result.1606",0.836703722572428,0.631637936479304,-0.107,0.022,0.109,0.066
"result.1607",0.999077223114199,0.245530366152382,-0.346,-0.044,0.111,0.065
