"","V1","V2","V3","V4","V5","V6"
"result.29",0.74575,0.12,-0.0696759076220034,-0.0174318130063013,0.107558562506079,0.0147904849001629
"result.30",0.99575,0,-0.280679787012754,-0.0723724020877844,0.107829760745691,0.015084699509261
"result.31",1,0,-0.482844577737746,-0.0740445447649326,0.110775422772202,0.0150868409252106
"result.32",0.90175,0,-0.143729941137505,-0.0644850783525632,0.113173681205374,0.0145660396961965
"result.33",0.60175,0.08075,-0.0278664905114459,-0.0215321134532477,0.106779107453765,0.0154511290495254
"result.34",1,0.01525,-0.424726082775698,-0.0316429294148791,0.110790023040633,0.0145866687030424
"result.35",0.84,0,-0.110398190118644,-0.0515139610323614,0.110798322601133,0.0146726338208918
"result.36",1,0,-0.386972880482914,-0.0522026721557094,0.107606576631433,0.014585898251741
"result.37",0.99975,0,-0.39321495221448,-0.0741321337282947,0.107399525983919,0.0151122813630866
"result.38",0.99975,0.30225,-0.401325381350559,-0.00776946605778246,0.107982937786188,0.0147979122214648
"result.39",0.67575,0.00225,-0.0469362480755422,-0.0439289287830524,0.107102210968477,0.0145662905595303
"result.40",1,0.00525,-0.441269215821293,-0.0384347143293885,0.111684146605855,0.0146214957645223
"result.41",0.9945,0.0025,-0.290926583304783,-0.0399176855368087,0.113204174911483,0.0144602598879441
"result.42",0.999,0.012,-0.351962658195834,-0.032388942928419,0.112458131999408,0.0143999828263157
"result.43",0.81075,0.00575,-0.0916323177498892,-0.0384256270767057,0.105939050449942,0.0149141745365305
"result.44",0.99875,5e-04,-0.335766530474206,-0.0461819811353169,0.110883609027906,0.0145935906086279
"result.45",0.957,0.12775,-0.190465200073673,-0.0162497089432064,0.108131574619412,0.0145108070962558
"result.46",1,0.85575,-0.45959686401046,0.0156470520744843,0.109706086612209,0.0146134594908075
"result.47",1,0.001,-0.367736370552304,-0.0462890916460407,0.107361587525349,0.014452411904993
"result.48",0.98875,0.031,-0.252930763716692,-0.0266151019375699,0.110291622421723,0.0143439559188423
"result.49",0.99925,0.01075,-0.365196205288743,-0.0328355383743957,0.110026316071544,0.0142290622730925
