"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1238",0.96416810788048,0.702309877757669,-0.2,0.034,0.111,0.065
"result.1239",0.979041876863629,0.867026825773935,-0.223,0.073,0.11,0.065
"result.1240",0.999980157018229,0.999299551968376,-0.439,0.209,0.11,0.066
"result.1241",0.975439656327847,0.894324049524593,-0.214,0.083,0.109,0.066
"result.1242",0.998931877680347,0.999833363541146,-0.34,0.234,0.111,0.066
"result.1243",0.997774282215326,0.997192659017244,-0.307,0.185,0.108,0.067
"result.1244",0.815735718800961,0.676209693134044,-0.098,0.03,0.109,0.065
"result.1245",0.999840137463002,0.996703761762724,-0.395,0.176,0.111,0.065
"result.1246",0.999509406378789,0.983714589626617,-0.356,0.142,0.108,0.066
"result.1247",0.999983605544112,0.997348711939808,-0.438,0.185,0.109,0.067
"result.1248",0.99959281163957,0.999679624532993,-0.368,0.224,0.11,0.066
"result.1249",0.999927668236855,0.998869403611528,-0.413,0.2,0.11,0.066
"result.1250",0.998278499918684,0.983529927976499,-0.32,0.14,0.11,0.066
"result.1251",0.99748645592182,0.974269940021878,-0.306,0.129,0.11,0.066
"result.1252",0.996465651377712,0.925176567435067,-0.293,0.095,0.109,0.066
"result.1253",0.992358286524486,0.991196045053411,-0.263,0.157,0.109,0.066
"result.1254",0.996475338669982,0.996316746481236,-0.292,0.178,0.109,0.067
"result.1255",0.976680790069153,0.88856394719655,-0.216,0.081,0.109,0.066
"result.1256",0.99995235558719,0.994620294630915,-0.421,0.168,0.11,0.066
"result.1257",0.997034296731788,0.983743526165441,-0.299,0.141,0.109,0.066
"result.1258",0.999882267075539,0.998779674071286,-0.404,0.198,0.111,0.065
"result.1259",0.99997715974734,0.998828701912621,-0.431,0.203,0.109,0.067
"result.1260",0.999890642670071,0.995686923905958,-0.402,0.171,0.11,0.065
"result.1261",0.99636623214145,0.953373541958242,-0.295,0.11,0.11,0.065
"result.1262",0.999975129195849,0.999465179078147,-0.441,0.213,0.112,0.065
"result.1263",0.988471077260334,0.943963353623342,-0.248,0.105,0.109,0.066
"result.1264",0.999387831351792,0.998078654681821,-0.358,0.188,0.111,0.065
"result.1265",0.99999505721512,0.997054657847392,-0.461,0.18,0.111,0.066
"result.1266",0.996385811033695,0.992169970234675,-0.296,0.158,0.11,0.065
"result.1267",0.999845711938608,0.99698488332967,-0.394,0.181,0.11,0.066
"result.1268",0.997873311481155,0.979310640230332,-0.317,0.133,0.111,0.065
"result.1269",0.945354570065143,0.904074955301415,-0.178,0.085,0.111,0.065
"result.1270",0.994374203254885,0.997920981125847,-0.279,0.188,0.111,0.066
"result.1271",0.999237359343577,0.987686422933917,-0.345,0.149,0.109,0.067
"result.1272",0.963626032899931,0.755830060042001,-0.198,0.046,0.111,0.065
"result.1273",0.99924395327964,0.998262226878341,-0.352,0.19,0.111,0.065
"result.1274",0.99826767740009,0.998262713023775,-0.323,0.192,0.111,0.066
"result.1275",0.992435190906889,0.997446602412041,-0.265,0.183,0.11,0.065
"result.1276",0.989125866965787,0.818944434905475,-0.249,0.061,0.109,0.066
"result.1277",0.999931151825869,0.998777539441047,-0.415,0.199,0.111,0.066
"result.1278",0.99997699254469,0.99941209624657,-0.438,0.213,0.11,0.066
"result.1279",0.982275367768478,0.830071694152114,-0.23,0.063,0.109,0.066
"result.1280",0.933223663551677,0.972145686761455,-0.164,0.125,0.109,0.066
"result.1281",0.998960657303636,0.991939570782913,-0.34,0.155,0.111,0.065
"result.1282",0.988408312537151,0.980759647647199,-0.248,0.136,0.109,0.066
"result.1283",0.997850530844859,0.981539784849891,-0.313,0.136,0.11,0.065
"result.1284",0.983598514687738,0.991350024722259,-0.235,0.154,0.11,0.065
"result.1285",0.999989596860608,0.998058585823843,-0.451,0.19,0.111,0.066
"result.1286",0.972102481682629,0.910188379358308,-0.21,0.089,0.11,0.066
"result.1287",0.996614679199646,0.996195680389696,-0.3,0.172,0.111,0.065
"result.1288",0.952836623357455,0.882284915930845,-0.185,0.077,0.111,0.065
"result.1289",0.981129727865355,0.96425418593876,-0.227,0.119,0.11,0.066
"result.1290",0.999939299453725,0.997464428846513,-0.421,0.184,0.111,0.066
"result.1291",0.99993942081533,0.985225738410623,-0.418,0.143,0.11,0.066
"result.1292",0.999999322703454,0.999605927891851,-0.467,0.222,0.111,0.066
"result.1293",0.950930396751362,0.930414056491121,-0.183,0.096,0.111,0.065
"result.1294",0.993900582739985,0.945167033886095,-0.272,0.106,0.109,0.066
"result.1295",0.999485236320043,0.999873979438576,-0.358,0.239,0.109,0.066
"result.1296",0.998815802989935,0.610621058084845,-0.331,0.019,0.109,0.066
"result.1297",0.97469523976594,0.938266692845078,-0.216,0.1,0.111,0.065
"result.1298",0.928126420724887,0.994166194704743,-0.16,0.166,0.109,0.066
"result.1299",1,0.999900564435337,-0.539,0.239,0.113,0.065
"result.1300",0.999425490618329,0.946318670637834,-0.352,0.107,0.109,0.066
"result.1301",0.959143963436347,0.854026644303995,-0.188,0.07,0.108,0.067
"result.1302",0.999812674605243,0.991251211935776,-0.386,0.158,0.109,0.067
"result.1303",0.999966483418594,0.999952767115758,-0.434,0.252,0.111,0.066
"result.1304",0.975805232311915,0.980779572204845,-0.213,0.139,0.108,0.067
"result.1305",0.895497590017272,0.934076647915401,-0.14,0.098,0.112,0.065
"result.1306",0.999708022016641,0.99782501400352,-0.377,0.185,0.11,0.065
"result.1307",0.999611106713606,0.999476407363242,-0.364,0.217,0.109,0.067
"result.1308",0.451723797174505,0.795829118287909,0.014,0.054,0.111,0.065
"result.1309",1,0.999727217265753,-0.471,0.227,0.11,0.066
"result.1310",0.999119544333192,0.993674260471499,-0.344,0.163,0.11,0.065
"result.1311",0.999149246225997,0.961104468153429,-0.343,0.117,0.11,0.066
"result.1312",0.99921557549053,0.975514586768594,-0.349,0.129,0.111,0.065
"result.1313",0.977937431086591,0.932080300927567,-0.221,0.097,0.11,0.065
"result.1314",0.986323942002779,0.995804360622531,-0.242,0.173,0.11,0.066
"result.1315",0.997678449281456,0.967153567213604,-0.31,0.12,0.11,0.065
"result.1316",0.998343229115772,0.984864416612285,-0.327,0.14,0.112,0.065
"result.1317",0.955709659429133,0.759199462962968,-0.188,0.046,0.11,0.066
"result.1318",0.886186394850575,0.80538873032106,-0.132,0.057,0.11,0.066
"result.1319",0.998905287608809,0.992638344754121,-0.341,0.158,0.112,0.065
"result.1320",1,0.999997815955437,-0.512,0.277,0.111,0.066
"result.1321",0.999132925580156,0.945391763479762,-0.344,0.105,0.11,0.066
"result.1322",0.931177275324059,0.941736157567242,-0.162,0.103,0.109,0.066
"result.1323",0.999074385062825,0.998435230466402,-0.341,0.193,0.11,0.065
"result.1324",0.999160212065131,0.998708174494662,-0.341,0.199,0.109,0.066
"result.1325",0.998208682499583,0.959194213712092,-0.32,0.114,0.11,0.065
"result.1326",1,0.999942374666697,-0.558,0.253,0.11,0.067
"result.1327",0.999995423924405,0.999948898401868,-0.461,0.251,0.111,0.066
"result.1328",0.913303559193066,0.716227805190121,-0.148,0.038,0.109,0.066
"result.1329",0.990671318175747,0.975911508474448,-0.256,0.131,0.109,0.067
"result.1330",0.999658802386138,0.999480598732715,-0.367,0.216,0.109,0.066
"result.1331",0.992912896398547,0.988880046246545,-0.268,0.15,0.11,0.066
"result.1332",0.958072795365211,0.928621833423179,-0.191,0.096,0.11,0.065
"result.1333",0.996149691465128,0.978573866386263,-0.297,0.131,0.112,0.065
"result.1334",0.998962830427027,0.939065887685706,-0.345,0.101,0.112,0.065
"result.1335",0.753137543124034,0.790170865407744,-0.074,0.054,0.108,0.067
"result.1336",0.994092681398065,0.995583155113948,-0.282,0.167,0.112,0.064
"result.1337",0.993576178207965,0.992930547048143,-0.267,0.165,0.108,0.068
"result.1338",0.994504731898151,0.997790719062956,-0.278,0.188,0.11,0.066
"result.1339",0.996789475770547,0.996230557073368,-0.296,0.177,0.109,0.066
"result.1340",0.995039673032442,0.947997823078703,-0.283,0.106,0.11,0.065
"result.1341",0.995156160994258,0.996988404347098,-0.284,0.18,0.11,0.066
"result.1342",0.999881959385234,0.95650148113444,-0.399,0.113,0.11,0.066
"result.1343",0.999581456069868,0.999835250735105,-0.372,0.235,0.112,0.065
"result.1344",0.998880047646224,0.968721398328078,-0.333,0.123,0.109,0.066
"result.1345",0.990902079577564,0.973273542401194,-0.261,0.127,0.111,0.066
"result.1346",0.996440305502096,0.947333701858803,-0.295,0.107,0.11,0.066
"result.1347",0.999717266741371,0.998903868738134,-0.377,0.201,0.11,0.066
"result.1348",0.974542247669262,0.982552703858193,-0.217,0.137,0.111,0.065
"result.1349",0.999069062913342,0.997389823970761,-0.343,0.183,0.111,0.065
"result.1350",0.988254943928228,0.844432337581349,-0.246,0.067,0.109,0.066
"result.1351",0.92246034470636,0.870566630097867,-0.155,0.075,0.109,0.066
"result.1352",0.998349651139432,0.982981199778111,-0.319,0.14,0.109,0.066
"result.1353",0.992020613028322,0.981113385998523,-0.265,0.136,0.11,0.066
"result.1354",0.99848019855389,0.99382895184907,-0.328,0.162,0.111,0.065
"result.1355",0.998929365169053,0.999873624231159,-0.333,0.242,0.109,0.067
"result.1356",0.997911283631494,0.987547056352664,-0.32,0.146,0.112,0.065
"result.1357",0.999294776221456,0.998458095303484,-0.354,0.193,0.111,0.065
"result.1358",0.991215831157004,0.977379037709157,-0.255,0.134,0.108,0.067
"result.1359",0.978176305159854,0.854770742538471,-0.219,0.07,0.109,0.066
"result.1360",0.986506852568482,0.905639845244682,-0.243,0.085,0.11,0.065
"result.1361",0.999685699120194,0.968178378146832,-0.378,0.121,0.111,0.065
"result.1362",0.999965964495837,0.991871503937835,-0.433,0.155,0.111,0.065
"result.1363",0.973198231784446,0.926252461051243,-0.21,0.095,0.109,0.066
"result.1364",0.999971069122558,0.99465645932105,-0.434,0.167,0.11,0.066
"result.1365",0.999911846765141,0.998490352778531,-0.419,0.189,0.113,0.064
"result.1366",0.999992101674509,0.998560459663769,-0.455,0.196,0.111,0.066
"result.1367",0.795760585219866,0.692140171475367,-0.09,0.033,0.109,0.066
"result.1368",0.716710074663439,0.525625387447233,-0.062,0.004,0.109,0.066
"result.1369",0.963305707563,0.96129020811175,-0.199,0.114,0.111,0.064
"result.1370",0.998250999473323,0.999194739673298,-0.317,0.209,0.109,0.066
"result.1371",0.997661613373859,0.999744168451359,-0.311,0.228,0.11,0.066
"result.1372",0.99976736612615,0.999842252979614,-0.38,0.236,0.109,0.066
"result.1373",0.99949848807153,0.995939294408393,-0.367,0.17,0.112,0.064
"result.1374",0.99992303314876,0.936808266639768,-0.411,0.1,0.11,0.065
"result.1375",0.977919381338033,0.949132549440069,-0.219,0.108,0.109,0.066
"result.1376",0.999876185798832,0.999429494802728,-0.403,0.211,0.111,0.065
"result.1377",0.995488898660799,0.916850372775544,-0.283,0.093,0.109,0.067
"result.1378",1,0.999999809652243,-0.735,0.33,0.113,0.065
"result.1379",0.775598862888298,0.65578805137984,-0.084,0.026,0.111,0.065
"result.1380",0.89371739269321,0.78961483920025,-0.136,0.053,0.109,0.066
"result.1381",0.97194885523192,0.987709881700844,-0.21,0.147,0.11,0.065
"result.1382",0.999856522703332,0.996191840876867,-0.399,0.174,0.111,0.065
"result.1383",0.932388277285526,0.925449808198646,-0.164,0.095,0.11,0.066
"result.1384",0.997778119716364,0.929709230705379,-0.309,0.098,0.109,0.066
"result.1385",0.953518277763956,0.861219204688219,-0.18,0.073,0.107,0.068
"result.1386",0.999430232670565,0.989334262766226,-0.359,0.15,0.111,0.065
"result.1387",0.999996023913641,0.995477517674239,-0.46,0.17,0.11,0.065
"result.1388",0.798280493260119,0.953724985504164,-0.091,0.111,0.109,0.066
"result.1389",0.999976009378856,0.965751892680928,-0.439,0.119,0.111,0.065
"result.1390",0.994789965198232,0.987090786554095,-0.28,0.147,0.11,0.066
"result.1391",0.999891856862877,0.984935711111597,-0.407,0.141,0.111,0.065
"result.1392",0.999801984375528,0.999226367704004,-0.387,0.208,0.11,0.066
"result.1393",0.994690658346272,0.970572497530486,-0.282,0.122,0.111,0.065
"result.1394",0.993267022257687,0.965113774055807,-0.27,0.119,0.11,0.065
"result.1395",0.999541346514915,0.999654114043499,-0.36,0.225,0.109,0.066
"result.1396",0.981545844778798,0.975144569247352,-0.226,0.129,0.108,0.066
"result.1397",0.809944749117595,0.831142313990728,-0.095,0.063,0.109,0.066
"result.1398",0.840995495668235,0.834014256699126,-0.11,0.063,0.11,0.065
