"","V1","V2","V3","V4"
"result.75","No","0.5061274573974","0.540979543783691","0.586809488506859"
"result.76","Yes","0.0133528493859882","1.4238393967894","0.57238957297952"
"result.77","Yes","0.00983385085995669","1.12997627580561","0.587413352377602"
"result.78","Yes","0.000579866947844843","1.16536257262782","0.583778834277847"
"result.79","Yes","0.000746305164904482","0.214509808217675","0.595487481883882"
"result.80","Yes","0.0195595034324202","0.291222310221375","0.595783215197835"
"result.81","Yes","0.0293088161228061","1.3534784559479","0.57797020538507"
"result.82","Yes","0.00517782602001737","0.411007706177592","0.570848786919601"
"result.83","Yes","0.0100198480567411","1.4687890696917","0.587142056905461"
"result.84","Yes","0.0308926770337187","1.24339674809253","0.595564950786772"
"result.85","Yes","0.00193362154506638","1.4646732459462","0.573763092417336"
"result.86","No","0.137773263031026","1.14403450872062","0.571772958046429"
"result.87","Yes","0.0324293265535112","0.306515570107784","0.584980385656766"
"result.88","No","0.162748206619148","0.525930299186551","0.565728965229079"
"result.89","Yes","0.00175433934041869","0.396515842715073","0.566829072849352"
"result.90","Yes","0.000209578238435038","0.0340456829167965","0.577349595331894"
"result.91","No","0.0426093854070719","-0.166298619117854","0.562496954883567"
"result.92","No","0.630578866774707","0.554914853960407","0.578009650953646"
"result.93","No","0.270606579913424","0.15667784805598","0.591528272065165"
"result.94","No","0.234566610011188","0.313783687840618","0.57085704951846"
"result.95","No","0.0719984769683399","0.0389651829669564","0.55308932417261"
"result.96","Yes","0.000366425411406635","0.414867594175993","0.569511465217188"
"result.97","Yes","0.0446121291117001","0.843775454789077","0.569901107026805"
"result.98","Yes","0.0274040714065267","0.287490204947615","0.569884070749249"
"result.99","Yes","0.00025868338561108","0.486055917307758","0.586503711997011"
"result.100","Yes","0.0137422274933787","0.617780594972782","0.58820390857569"
"result.101","Yes","0.042710130858866","0.0970852059519959","0.579476328719139"
"result.102","Yes","0.00208606013577672","1.53085488437878","0.604170065430898"
"result.103","No","0.136463989509833","0.26037025536235","0.594844518248809"
"result.104","Yes","0.0107596464022504","0.577592335200089","0.583427522469455"
"result.105","No","0.00929801932687435","-0.202999753115403","0.552078804843352"
"result.106","Yes","0.00852337193361175","1.08689631862212","0.579404772760821"
"result.107","Yes","0.0235197759753798","0.647695097886184","0.567630603533372"
"result.108","Yes","0.000876081486571256","0.636293625942232","0.571006445835448"
"result.109","Yes","0.0281313577159354","1.18653732974181","0.582275668979453"
"result.110","Yes","0.00282327895896528","1.10712510426307","0.594225101579665"
"result.111","Yes","0.0367641615744826","0.820881514649213","0.589506355401441"
"result.112","Yes","0.0023453419309476","0.492095156988531","0.593379432953055"
"result.113","Yes","0.00580663521507108","0.0802296916295585","0.561532243540572"
"result.114","No","0.0552502316488973","0.564844359042494","0.555274962297984"
"result.115","Yes","6.5819997898342e-05","0.996378811037759","0.562761260452296"
"result.116","Yes","0.00336879197143769","0.335405768701623","0.570493597036687"
"result.117","Yes","0.00186704062352838","1.25705647140231","0.579449640192336"
"result.118","Yes","0.00177048525748502","0.477406228450873","0.603630932565312"
"result.119","No","0.0795940433484867","1.23060485137228","0.57813979132569"
"result.120","Yes","0.0114965123441301","0.266538836128819","0.569267250291502"
"result.121","Yes","0.000474073039871903","1.33219548505394","0.54077029293478"
"result.122","No","0.0510919425473716","0.254005608722016","0.605048787623846"
"result.123","No","0.398081709329862","0.414575520614214","0.578799794175064"
"result.124","Yes","2.6063839907553e-05","1.30113089143287","0.565610715375273"
"result.125","Yes","0.000336698322050966","0.027904369111523","0.585567949796945"
"result.126","Yes","0.000116314121998196","1.7133786825353","0.562456227997422"
"result.127","Yes","8.17711221914319e-05","1.77686828717575","0.587735875657277"
"result.128","Yes","0.000437528118134134","1.56341822022754","0.574621216388006"
"result.129","Yes","0.00489582286661172","0.410462009423038","0.577971732428523"
"result.130","No","0.34619874143136","0.00712413686590883","0.579546068465462"
"result.131","Yes","0.000154119694496191","0.564287730344126","0.567065571909388"
"result.132","Yes","0.0177063154182853","0.513762772826344","0.572087390542091"
"result.133","Yes","0.000669201159927635","1.21816794491916","0.570397579140592"
"result.134","Yes","0.00242602604375697","0.597120447274206","0.574841678651314"
"result.135","Yes","0.0361913826715003","0.422956916454156","0.587223238835061"
"result.136","Yes","0.0113735836567629","0.710061529866774","0.594027604390111"
"result.137","Yes","0.00336248622273916","0.991702342525598","0.578071240776217"
"result.138","Yes","0.0295329817294306","0.0574703049512543","0.603700984711791"
"result.139","No","0.310583460606084","0.442836971762258","0.561331606659173"
"result.140","Yes","0.00483865846036824","0.659324656391766","0.613588680892768"
"result.141","No","0.0915634927973628","-0.0924777500734615","0.571045742723942"
"result.142","Yes","0.000380347510394619","1.01583934524538","0.572465452091884"
"result.143","Yes","0.00712704000905717","0.255009491416874","0.588523699594283"
"result.144","Yes","0.0168416916339713","0.969712984637239","0.596093668348289"
"result.145","Yes","0.00580116585316504","1.32947919481292","0.582560771218926"
"result.146","Yes","0.00141261434251516","0.837462115556882","0.574704180221006"
"result.147","Yes","0.000390064406038393","1.18839323488559","0.572063498445753"
"result.148","Yes","0.0118144646677559","0.484684285073022","0.605854976902436"
"result.149","Yes","0.00411976928223146","1.2615008405516","0.566549082789264"
"result.150","Yes","4.88323864340501e-05","1.58856198150031","0.58911525722449"
"result.151","Yes","0.0109761057101416","0.864623703309032","0.576604735189278"
