"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.305",0.0787009913463908,0.999478891142907,0.121,2.508,0.062,0.085,0.08,0.102
"result.306",0.841098409840294,0.999891655489811,-0.085,2.357,0.291,0.085,0.078,0.102
"result.307",0.643329889054694,0.99921738575971,-0.031,2.375,0.208,0.084,0.08,0.101
"result.308",0.601678029847034,0.910769728266199,-0.022,2.395,0.097,0.085,0.088,0.102
"result.309",0.355485505952298,0.996407800316294,0.031,2.391,0.121,0.084,0.08,0.101
"result.310",0.713675809099329,0.99401999823186,-0.048,2.355,0.189,0.086,0.088,0.102
"result.311",0.919659366391544,0.996331321426548,-0.123,2.372,0.274,0.088,0.091,0.104
"result.312",0.738747183487772,0.99981173517631,-0.057,2.389,0.258,0.089,0.09,0.105
"result.313",0.268907764674519,0.942806383585733,0.053,2.586,0.035,0.086,0.081,0.103
"result.314",0.769733524557521,0.99984680456241,-0.062,2.289,0.264,0.084,0.086,0.101
"result.315",0.969882569818743,0.999982161365795,-0.156,2.223,0.383,0.083,0.082,0.101
"result.316",0.323006156806881,0.994288523764499,0.039,2.397,0.103,0.085,0.089,0.102
"result.317",0.558742597962894,0.885608261148732,-0.012,2.459,0.079,0.084,0.078,0.101
"result.318",0.546453968341743,0.989686131852628,-0.01,2.407,0.14,0.086,0.087,0.103
"result.319",0.167946157520064,0.994968634379286,0.082,2.495,0.062,0.085,0.078,0.102
"result.320",0.332637691296551,0.99167694123196,0.037,2.489,0.096,0.086,0.086,0.102
"result.321",0.0948241524262935,0.997576503096304,0.111,2.494,0.047,0.085,0.078,0.102
"result.322",0.640006645129267,0.997009128470816,-0.031,2.464,0.186,0.088,0.083,0.104
"result.323",0.645392762692683,0.994457556978966,-0.032,2.372,0.175,0.086,0.091,0.103
"result.324",0.422358790830212,0.998663409108996,0.017,2.395,0.153,0.084,0.076,0.101
"result.325",0.98324897241102,0.999677755130827,-0.177,2.24,0.368,0.083,0.083,0.101
"result.326",0.897308234531918,0.996335870937744,-0.109,2.419,0.258,0.086,0.086,0.103
"result.327",0.272056351400269,0.93532462820709,0.051,2.412,0.034,0.084,0.086,0.101
"result.328",0.19575419656823,0.968418526932334,0.074,2.508,0.03,0.086,0.088,0.103
"result.329",0.885105613863945,0.997044242499415,-0.101,2.304,0.256,0.084,0.084,0.101
"result.330",0.517874418142283,0.969272501597573,-0.004,2.435,0.109,0.085,0.079,0.102
"result.331",0.0874433245315412,0.999021652552736,0.117,2.537,0.056,0.086,0.081,0.102
"result.332",0.751307403037793,0.992117211758228,-0.059,2.444,0.193,0.087,0.087,0.103
"result.333",0.66936941152999,0.868319931400061,-0.038,2.5,0.1,0.086,0.081,0.103
"result.334",0.76439903409044,0.996084429423542,-0.061,2.246,0.211,0.084,0.088,0.102
"result.335",0.115556416135488,0.995772400796543,0.098,2.4,0.049,0.082,0.083,0.099
"result.336",0.417454274334096,0.993649398671789,0.018,2.472,0.122,0.085,0.079,0.102
"result.337",0.802292933855593,0.974908036914399,-0.072,2.455,0.182,0.085,0.079,0.102
"result.338",0.1270480396496,0.982215255641621,0.098,2.514,0.019,0.086,0.085,0.103
"result.339",0.287176440267981,0.977715465391963,0.047,2.383,0.066,0.083,0.084,0.1
"result.340",0.475115330674641,0.988087003140453,0.006,2.403,0.121,0.087,0.094,0.104
"result.341",0.0883540489138642,0.999452822829164,0.113,2.368,0.072,0.083,0.081,0.101
"result.342",0.117432806761784,0.961980755201381,0.1,2.532,-0.001,0.084,0.076,0.101
"result.343",0.275561191538662,0.996993103137974,0.052,2.434,0.103,0.086,0.088,0.103
"result.344",0.844190812818981,0.999990909752431,-0.088,2.348,0.319,0.087,0.091,0.104
"result.345",0.609195014032412,0.999554864972798,-0.023,2.331,0.211,0.084,0.086,0.101
"result.346",0.290329399684116,0.996450084956587,0.048,2.556,0.102,0.086,0.08,0.102
"result.347",0.0218109382702807,0.973110782107337,0.169,2.479,-0.061,0.084,0.081,0.101
"result.348",0.954984306637439,0.999954208538808,-0.143,2.328,0.36,0.085,0.077,0.101
"result.349",0.907962859619539,0.997480699453196,-0.116,2.484,0.274,0.088,0.079,0.104
"result.350",0.0791121828547311,0.992451437414683,0.118,2.498,0.017,0.084,0.079,0.1
"result.351",0.320925884440568,0.918780218365088,0.04,2.458,0.039,0.085,0.084,0.102
"result.352",0.269803664734333,0.99934623084065,0.053,2.485,0.127,0.086,0.079,0.102
"result.353",0.0451927463670952,0.910159897774289,0.141,2.456,-0.065,0.083,0.084,0.1
"result.354",0.860290025958963,0.997742557506627,-0.091,2.378,0.25,0.084,0.078,0.101
"result.355",0.42978148803679,0.995280688213644,0.015,2.428,0.131,0.086,0.088,0.103
"result.356",0.70840591740599,0.989942783872352,-0.045,2.309,0.176,0.083,0.087,0.1
