"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1742",0.135863802471253,0.999898280082733,0.087,1.91,0.129,0.079,0.083,0.098
"result.1743",0.00234859911556321,0.999999182463175,0.24,2.159,0.006,0.085,0.089,0.103
"result.1744",0.00585885788519463,0.999895627027312,0.214,2.341,-0.004,0.085,0.092,0.102
"result.1745",0.156930905284325,0.999741913834886,0.083,2.186,0.115,0.082,0.088,0.1
"result.1746",0.0447508854582143,0.999999811443274,0.14,2.232,0.118,0.082,0.089,0.1
"result.1747",0.0121067082477962,0.99851717747687,0.186,2.159,-0.015,0.083,0.086,0.101
"result.1748",0.195360473338686,0.999968571793141,0.071,2.078,0.157,0.082,0.087,0.101
"result.1749",0.00499602281017987,0.999999811443256,0.217,2.28,0.045,0.084,0.091,0.102
"result.1750",0.132118264491383,0.999985326565602,0.091,2.064,0.143,0.081,0.086,0.099
"result.1751",0.0078030829177794,0.999891052009858,0.202,2.327,0.008,0.084,0.09,0.101
"result.1752",0.0313379395193009,0.999569588729203,0.155,2.219,0.036,0.083,0.089,0.101
"result.1753",0.158069287543995,0.999999811442985,0.085,2.364,0.211,0.085,0.091,0.102
"result.1754",0.0122688748652268,0.999999811442932,0.187,2.187,0.129,0.083,0.091,0.101
"result.1755",0.443920286890468,0.999945189093711,0.012,2.139,0.208,0.083,0.087,0.101
"result.1756",0.13279125597126,0.999987762344938,0.093,2.109,0.144,0.083,0.088,0.101
"result.1757",4.11170806479717e-05,0.997608475480945,0.325,2.345,-0.164,0.084,0.089,0.101
"result.1758",0.0113248370833332,0.990752995853869,0.188,2.298,-0.054,0.083,0.09,0.1
"result.1759",0.00164921763512934,0.999730248897811,0.244,2.281,-0.046,0.083,0.09,0.101
"result.1760",0.0125402788444722,0.998932352797442,0.184,2.157,-0.007,0.082,0.088,0.1
"result.1761",0.000545045218923892,0.99908078540362,0.27,2.293,-0.092,0.083,0.089,0.101
"result.1762",0.104967335715495,0.999999811443009,0.104,2.144,0.182,0.083,0.087,0.101
"result.1763",0.402101421156813,0.99988196889181,0.021,2.025,0.191,0.082,0.085,0.101
"result.1764",0.0621111997728009,0.999998366912444,0.127,2.058,0.117,0.083,0.087,0.101
"result.1765",0.1421596632471,0.99983064889278,0.087,2.133,0.118,0.081,0.087,0.099
"result.1766",0.30254446866747,0.999999120252494,0.042,2.153,0.199,0.081,0.086,0.099
"result.1767",0.0770975423585808,0.998095242193815,0.117,2.19,0.05,0.082,0.089,0.1
"result.1768",0.0460395454481498,0.99994365253675,0.142,2.197,0.079,0.084,0.091,0.102
"result.1769",0.0174279257697777,0.999983212332792,0.172,2.111,0.062,0.082,0.088,0.1
"result.1770",0.00168369965885587,0.999959254078908,0.245,2.296,-0.022,0.084,0.089,0.101
"result.1771",1.88556464250298e-07,0.999740952657929,0.4,2.345,-0.201,0.085,0.091,0.103
"result.1772",0.00337773323544038,0.999510280298113,0.229,2.296,-0.041,0.084,0.088,0.102
"result.1773",0.0122098267079554,0.999997620303829,0.19,2.323,0.051,0.084,0.091,0.102
"result.1774",0.121400399114132,0.997454644464802,0.095,2.272,0.064,0.081,0.089,0.099
"result.1775",0.0110443388073218,0.999999811443204,0.187,2.169,0.082,0.082,0.087,0.1
"result.1776",0.0335049313007818,0.9999998114431,0.148,2.184,0.103,0.081,0.087,0.099
"result.1777",0.0629834678073491,0.999944661359231,0.123,2.12,0.097,0.08,0.086,0.099
"result.1778",0.00107817009079706,0.999988525751895,0.249,2.226,-0.015,0.081,0.088,0.099
"result.1779",0.0157290289119552,0.999999811442822,0.175,2.112,0.117,0.081,0.087,0.1
"result.1780",0.0316653166544097,0.99974958097427,0.149,2.014,0.052,0.08,0.084,0.099
"result.1781",0.13947559553207,0.999994908955534,0.092,2.219,0.147,0.085,0.088,0.102
"result.1782",0.051917848118092,0.999888314511126,0.131,2.089,0.08,0.08,0.086,0.099
"result.1783",0.173914234337821,0.999978400777773,0.078,2.158,0.151,0.083,0.087,0.101
"result.1784",0.0328745960684545,0.999209188964359,0.15,2.222,0.03,0.081,0.087,0.099
"result.1785",0.00597144779222997,0.999983595882954,0.206,2.226,0.025,0.082,0.088,0.1
"result.1786",0.0286525120519653,0.999735948078773,0.162,2.294,0.035,0.085,0.091,0.102
"result.1787",0.00857974245896778,0.998221230340235,0.197,2.144,-0.028,0.083,0.087,0.101
"result.1788",0.00539998013112588,0.998839333061309,0.211,2.317,-0.037,0.083,0.09,0.101
"result.1789",3.71140285492076e-05,0.998944750448911,0.32,2.27,-0.143,0.082,0.089,0.1
"result.1790",0.01390030617907,0.999853253554735,0.184,2.332,0.021,0.083,0.089,0.101
"result.1791",0.00188113566043898,0.999717794169899,0.239,2.181,-0.041,0.082,0.088,0.1
"result.1792",0.0540293175480746,0.997680984668239,0.129,2.146,0.034,0.08,0.086,0.099
"result.1793",0.00163617704634826,0.999986597723937,0.244,2.162,-0.009,0.083,0.088,0.101
"result.1794",0.0822335642013329,0.998677391577525,0.116,2.286,0.055,0.083,0.088,0.101
"result.1795",0.210245777776097,0.998367108609806,0.067,2.096,0.102,0.083,0.086,0.1
"result.1796",0.00821428154400378,0.9985826667483,0.203,2.343,-0.033,0.085,0.089,0.102
"result.1797",0.0121845610774541,0.999999811443202,0.186,2.177,0.062,0.083,0.088,0.101
"result.1798",0.259381862428332,0.999997425301408,0.055,2.213,0.186,0.084,0.089,0.102
"result.1799",0.0425651820952045,0.999995400064791,0.146,2.146,0.094,0.085,0.09,0.103
"result.1800",0.015713179869817,0.99988235390342,0.181,2.213,0.03,0.084,0.089,0.102
"result.1801",2.66131895881237e-05,0.99880276787996,0.331,2.34,-0.157,0.083,0.089,0.101
"result.1802",0.011369084391068,0.999919554075976,0.188,2.239,0.026,0.083,0.09,0.101
"result.1803",0.023969674603335,0.999856517644826,0.162,2.211,0.046,0.082,0.088,0.1
"result.1804",0.253092650460259,0.999986181991951,0.054,2.059,0.183,0.081,0.089,0.1
"result.1805",0.00294326826912098,0.99980954299944,0.23,2.438,-0.03,0.084,0.092,0.101
"result.1806",0.0156963130939072,0.999999811443151,0.176,2.188,0.11,0.082,0.089,0.1
"result.1807",0.389715262908877,0.999954844148619,0.023,2.141,0.198,0.081,0.085,0.099
"result.1808",0.0436496451349168,0.999924039745541,0.139,2.123,0.077,0.081,0.087,0.1
"result.1809",0.542957968340031,0.998784220312533,-0.009,2.251,0.181,0.083,0.088,0.101
"result.1810",0.000315791209170336,0.999928551159619,0.288,2.349,-0.073,0.084,0.09,0.102
"result.1811",0.000149111771995313,0.999959617315764,0.299,2.278,-0.076,0.083,0.09,0.101
"result.1812",0.270929870511282,0.999999811443127,0.051,2.135,0.212,0.083,0.088,0.101
"result.1813",0.0315134802032265,0.999780598503238,0.153,2.254,0.046,0.082,0.089,0.1
"result.1814",0.0561862733799727,0.999999811443383,0.131,2.064,0.137,0.082,0.088,0.101
"result.1815",0.352623226278142,0.999990884062295,0.031,2.158,0.205,0.082,0.088,0.1
"result.1816",0.0259283354546151,0.999999811442966,0.157,2.095,0.102,0.081,0.086,0.099
"result.1817",0.0296217774264023,0.982471254175799,0.159,2.272,-0.039,0.084,0.089,0.102
"result.1818",0.000216087730729591,0.9999838194993,0.29,2.295,-0.058,0.082,0.09,0.1
"result.1819",0.00133810300476941,0.986070782444539,0.251,2.28,-0.125,0.084,0.089,0.101
"result.1820",0.00455345608101895,0.999508872470013,0.223,2.311,-0.035,0.085,0.09,0.103
"result.1821",0.00394670646029556,0.996594820663549,0.226,2.332,-0.072,0.085,0.09,0.102
"result.1822",0.0841805934397408,0.999999811443262,0.114,2.169,0.134,0.083,0.087,0.101
"result.1823",0.2048491492783,0.999890659457815,0.068,2.179,0.143,0.082,0.088,0.1
"result.1824",0.0788250107659282,0.999768590380992,0.118,2.158,0.082,0.084,0.086,0.101
"result.1825",0.0243330816632366,0.999723559970613,0.166,2.365,0.03,0.084,0.092,0.102
"result.1826",0.14989444439117,0.999941736340831,0.089,2.341,0.127,0.086,0.091,0.103
"result.1827",0.191998841146163,0.999999811442288,0.072,2.119,0.189,0.083,0.086,0.101
"result.1828",0.00731308334752306,0.999862837094472,0.2,2.184,0.008,0.082,0.087,0.1
"result.1829",0.177806326718244,0.999999811443098,0.076,2.158,0.205,0.082,0.088,0.1
"result.1830",0.236910375501537,0.999949507989834,0.058,2.094,0.162,0.081,0.085,0.099
"result.1831",0.269177848649787,0.999999811443,0.05,2.051,0.235,0.081,0.085,0.1
"result.1832",0.000185676709680848,0.998906199317942,0.284,2.204,-0.107,0.08,0.087,0.099
"result.1833",0.00561361244932889,0.999841476334905,0.209,2.279,-0.004,0.082,0.089,0.1
"result.1834",0.012307928522523,0.97460337099127,0.184,2.275,-0.071,0.082,0.088,0.1
"result.1835",0.00443091423897103,0.998599246744916,0.217,2.323,-0.045,0.083,0.091,0.101
"result.1836",0.10354480059323,0.999999811442884,0.102,2.054,0.193,0.081,0.086,0.1
"result.1837",0.0165764745931615,0.999394664647433,0.18,2.271,0.006,0.084,0.09,0.102
"result.1838",0.254536720478722,0.999945864835727,0.055,2.238,0.165,0.082,0.089,0.1
"result.1839",0.160432556005904,0.999967141418209,0.081,2.13,0.145,0.081,0.087,0.1
"result.1840",0.0123464098050345,0.99985309934158,0.183,2.246,0.024,0.082,0.09,0.1
"result.1841",0.00763328292997684,0.999057148724073,0.198,2.191,-0.019,0.082,0.087,0.1
"result.1842",0.0176433745932493,0.999884655921348,0.177,2.17,0.033,0.084,0.088,0.102
"result.1843",0.16187892458662,0.999994706781866,0.08,2.039,0.163,0.081,0.086,0.099
"result.1844",0.00236168719898721,0.999559221279304,0.234,2.196,-0.043,0.083,0.088,0.101
"result.1845",0.0576962665198018,0.999870265348003,0.134,2.277,0.074,0.085,0.09,0.102
"result.1846",0.00505831250499501,0.99999493963843,0.211,2.256,0.029,0.082,0.09,0.1
"result.1847",0.008707645348044,0.999936232321586,0.196,2.195,0.022,0.082,0.087,0.1
"result.1848",0.122854538083012,0.99970342969502,0.096,2.191,0.101,0.083,0.087,0.101
"result.1849",0.000762265863714296,0.999999811442921,0.266,2.367,-0.004,0.084,0.092,0.102
"result.1850",0.208760017196477,0.999999811442961,0.069,2.214,0.191,0.085,0.089,0.102
"result.1851",0.216877468638968,0.998211858987365,0.064,2.157,0.104,0.081,0.087,0.099
"result.1852",0.196233334785074,0.999941714855508,0.068,2.053,0.152,0.079,0.086,0.098
"result.1853",0.107476494784208,0.999728927535437,0.103,2.05,0.098,0.083,0.085,0.101
"result.1854",0.00484834080080883,0.999950437187717,0.212,2.186,0.01,0.082,0.088,0.1
"result.1855",0.0323293332362858,0.999985053143871,0.157,2.264,0.075,0.085,0.091,0.102
"result.1856",0.000645057621169285,0.997449591961479,0.265,2.366,-0.106,0.082,0.091,0.1
"result.1857",0.412457125267706,0.999999811443252,0.019,2.069,0.243,0.083,0.088,0.101
"result.1858",0.00289412733249451,0.999656827412434,0.229,2.17,-0.033,0.083,0.088,0.101
"result.1859",0.0306418214801677,0.959687051037391,0.153,2.247,-0.053,0.082,0.089,0.1
"result.1860",0.0472663131335505,0.999984487294319,0.142,2.229,0.09,0.085,0.089,0.102
"result.1861",0.264805014803398,0.999929983535626,0.053,2.082,0.164,0.084,0.085,0.101
"result.1862",0.00517336989767008,0.999004112768601,0.217,2.269,-0.039,0.085,0.089,0.102
"result.1863",0.368918142693894,0.999963317522197,0.028,2.139,0.198,0.083,0.088,0.101
"result.1864",0.025205113639122,0.999807053609374,0.165,2.184,0.04,0.084,0.091,0.102
"result.1865",0.0107086857050243,0.999124368073356,0.192,2.237,-0.013,0.084,0.088,0.101
"result.1866",0.204168538320277,0.999991026631718,0.068,2.06,0.17,0.082,0.085,0.101
"result.1867",0.0227796836021401,0.999862605439389,0.165,2.221,0.043,0.082,0.088,0.1
