"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1665",0.0678963484903083,0.0404569318246848,0.121,2.272,-0.222,0.081,0.087,0.099
"result.1666",0.139635180887953,0.267847932654272,0.091,2.435,-0.126,0.084,0.081,0.101
"result.1667",0.00624988314241092,0.0262446945444339,0.209,2.502,-0.32,0.084,0.079,0.102
"result.1668",0.0675704110174926,0.155711634928758,0.123,2.35,-0.181,0.082,0.092,0.1
"result.1669",0.0136201695731736,0.00321988803432471,0.18,2.434,-0.336,0.082,0.084,0.1
"result.1670",0.000429531156959231,0.000233040012548758,0.274,2.516,-0.474,0.082,0.087,0.1
"result.1671",0.0105093103730142,0.0656427318459547,0.194,2.332,-0.281,0.084,0.094,0.102
"result.1672",0.0588778022315708,0.486584619578633,0.129,2.335,-0.131,0.082,0.079,0.101
"result.1673",0.175609707544506,0.210178792766153,0.078,2.419,-0.124,0.084,0.087,0.101
"result.1674",0.512983463242467,0.0439911534608022,-0.003,2.381,-0.095,0.082,0.078,0.1
"result.1675",0.0437017362283703,0.0222060836987863,0.141,2.415,-0.256,0.082,0.081,0.1
"result.1676",0.0975455570159754,0.0191426287763515,0.105,2.218,-0.225,0.081,0.085,0.1
"result.1677",0.363399252965966,0.0762604134479485,0.029,2.414,-0.11,0.083,0.078,0.1
"result.1678",0.0109176390371501,0.0889024768681951,0.19,2.456,-0.267,0.083,0.083,0.101
"result.1679",0.00170250378005131,0.0571605519524246,0.246,2.525,-0.337,0.084,0.083,0.102
"result.1680",0.111927831715856,0.000197551471420421,0.099,2.343,-0.302,0.081,0.085,0.099
"result.1681",0.00653278118521544,0.201287832812485,0.203,2.395,-0.251,0.082,0.084,0.1
"result.1682",0.0212462990812658,0.0666127923319141,0.167,2.472,-0.252,0.082,0.077,0.1
"result.1683",0.107910345522169,0.0082345650630089,0.102,2.318,-0.24,0.082,0.086,0.1
"result.1684",0.0314595099694212,0.00978762500670005,0.152,2.357,-0.287,0.082,0.085,0.1
"result.1685",0.13709240684311,0.00121776109150229,0.09,2.376,-0.265,0.082,0.086,0.1
"result.1686",0.00372334857471614,0.58573455497886,0.214,2.312,-0.202,0.08,0.079,0.099
"result.1687",0.00758185056008919,0.0405944794445323,0.205,2.447,-0.305,0.084,0.09,0.102
"result.1688",0.260437667356404,0.0090664136739016,0.054,2.481,-0.189,0.084,0.08,0.102
"result.1689",0.0184461030377142,0.031589387064934,0.169,2.464,-0.275,0.081,0.077,0.099
"result.1690",0.0125609580184743,0.0685265448855279,0.187,2.419,-0.273,0.084,0.084,0.101
"result.1691",0.000836887835316257,0.0323171788070598,0.26,2.47,-0.366,0.083,0.086,0.101
"result.1692",0.240018303548151,0.00651508876239748,0.058,2.363,-0.2,0.082,0.081,0.1
"result.1693",0.679190738366309,0.0659132600233002,-0.039,2.301,-0.047,0.085,0.089,0.102
"result.1694",0.0147578541476334,0.00998828156502207,0.181,2.333,-0.316,0.083,0.089,0.101
"result.1695",0.00808136863676454,0.0338002237068817,0.197,2.363,-0.302,0.082,0.085,0.1
"result.1696",0.290560126822068,0.0319299446384176,0.046,2.311,-0.153,0.083,0.091,0.101
"result.1697",0.00203037304743539,0.142599766014632,0.243,2.487,-0.304,0.084,0.088,0.102
"result.1698",0.000657745446456872,0.00890101161369328,0.263,2.512,-0.399,0.082,0.079,0.1
"result.1699",0.0437088019244697,0.0516474639817012,0.14,2.315,-0.234,0.082,0.086,0.1
"result.1700",0.0246447221413552,0.111175434096916,0.159,2.373,-0.229,0.081,0.084,0.099
"result.1701",0.00125622516795745,0.022683352946597,0.258,2.591,-0.372,0.085,0.089,0.103
"result.1702",0.182520946248658,0.0878673065540415,0.074,2.327,-0.152,0.081,0.084,0.1
"result.1703",0.00211586664805086,0.00210094284290474,0.237,2.503,-0.401,0.083,0.085,0.101
"result.1704",0.045697135180313,0.00969558083672972,0.138,2.477,-0.271,0.082,0.084,0.1
"result.1705",0.560686552337402,0.0803444506365053,-0.012,2.389,-0.067,0.083,0.08,0.101
"result.1706",0.0929954802214271,0.33230826110067,0.106,2.167,-0.131,0.08,0.084,0.099
"result.1707",0.17876216484666,0.399587283068147,0.075,2.17,-0.089,0.081,0.085,0.1
