"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.691",0.777113784954945,0.49964828480156,-0.064,2.286,0.064,0.085,0.09,0.102
"result.692",0.997428162240116,0.858642159042606,-0.246,2.281,0.307,0.088,0.088,0.105
"result.693",0.239803169309898,0.895489192496807,0.061,2.491,0.01,0.086,0.08,0.103
"result.694",0.212841772963211,0.517547444032383,0.067,2.366,-0.064,0.083,0.086,0.101
"result.695",0.655025310389927,0.574645932507468,-0.033,2.267,0.044,0.084,0.087,0.101
"result.696",0.205351139847892,0.801596548638403,0.069,2.378,-0.02,0.083,0.079,0.101
"result.697",0.689905589513256,0.492259799982819,-0.043,2.397,0.042,0.087,0.091,0.104
"result.698",0.993859922490853,0.663496448250238,-0.211,2.296,0.235,0.084,0.077,0.102
"result.699",0.213275854525336,0.416202981757,0.069,2.569,-0.081,0.087,0.078,0.103
"result.700",0.401331087890707,0.952548232552003,0.021,2.378,0.073,0.083,0.08,0.101
"result.701",0.823166399176969,0.827830816350857,-0.081,2.49,0.134,0.087,0.077,0.104
"result.702",0.329432395303156,0.788671622668055,0.037,2.338,0.009,0.084,0.089,0.101
"result.703",0.812892297157937,0.991659133175186,-0.077,2.313,0.213,0.087,0.09,0.104
"result.704",0.443093960247208,0.259658713286404,0.013,2.496,-0.049,0.089,0.091,0.106
"result.705",0.313650055231166,0.849005569546044,0.041,2.34,0.018,0.084,0.089,0.101
"result.706",0.971517278549067,0.935771077733602,-0.159,2.219,0.245,0.084,0.084,0.101
"result.707",0.87180386457825,0.43080850988794,-0.097,2.438,0.087,0.085,0.076,0.102
"result.708",0.311665440728353,0.413925713079421,0.043,2.458,-0.055,0.087,0.089,0.104
"result.709",0.774273052512729,0.131782646865745,-0.062,2.309,-0.001,0.083,0.088,0.101
"result.710",0.363871238669729,0.501729265241141,0.029,2.292,-0.029,0.084,0.093,0.102
"result.711",0.0824036791873479,0.470780215484807,0.117,2.405,-0.121,0.084,0.088,0.101
"result.712",0.995746884281693,0.958846667998958,-0.225,2.294,0.324,0.086,0.081,0.103
"result.713",0.400600698391354,0.34166751823391,0.022,2.518,-0.045,0.088,0.087,0.105
"result.714",0.0925369033625602,0.318059818600957,0.112,2.476,-0.138,0.084,0.08,0.101
"result.715",0.529365576253892,0.708524433797233,-0.006,2.328,0.038,0.086,0.09,0.103
"result.716",0.995540990461662,0.636386016332706,-0.223,2.274,0.243,0.086,0.083,0.103
"result.717",0.99017894362959,0.437017197883331,-0.198,2.275,0.189,0.085,0.086,0.102
"result.718",0.500817323469546,0.523831352318002,0,2.287,0.004,0.085,0.086,0.103
"result.719",0.38487684446875,0.215986904102729,0.024,2.38,-0.069,0.083,0.081,0.101
"result.720",0.114230281032973,0.243604063461428,0.104,2.49,-0.144,0.087,0.086,0.104
"result.721",0.425897621373299,0.706943480816822,0.016,2.346,0.015,0.083,0.08,0.101
"result.722",0.748589364673346,0.411493912560051,-0.055,2.296,0.042,0.082,0.08,0.1
"result.723",0.720206029808031,0.406981561513283,-0.05,2.443,0.037,0.086,0.082,0.102
"result.724",0.521766061281562,0.113636496654884,-0.005,2.429,-0.064,0.087,0.092,0.104
"result.725",0.769906975223594,0.725389219892544,-0.063,2.411,0.097,0.085,0.077,0.102
"result.726",0.138532252690017,0.883512324059273,0.093,2.392,-0.024,0.085,0.084,0.102
"result.727",0.0800050471831163,0.706596158929871,0.121,2.444,-0.09,0.086,0.088,0.103
"result.728",0.746745677628689,0.440005366596945,-0.057,2.499,0.049,0.086,0.08,0.103
"result.729",0.972217166980488,0.511157339801044,-0.162,2.312,0.163,0.085,0.083,0.102
"result.730",0.764428859946263,0.752784822193935,-0.061,2.375,0.1,0.085,0.081,0.102
"result.731",0.550250058192581,0.514145544276817,-0.011,2.475,0.013,0.086,0.08,0.102
"result.732",0.280465385796456,0.887091474951975,0.05,2.485,0.018,0.086,0.083,0.103
"result.733",0.53098675979514,0.420043815088063,-0.006,2.269,-0.005,0.084,0.09,0.101
"result.734",0.944614014758806,0.36862158070042,-0.134,2.275,0.115,0.084,0.088,0.102
"result.735",0.58207949278349,0.370872565517647,-0.017,2.388,-0.001,0.084,0.08,0.102
"result.736",0.431085511237812,0.320150876026704,0.015,2.411,-0.041,0.084,0.079,0.101
"result.737",0.598284496330329,0.741347291051214,-0.021,2.357,0.058,0.085,0.081,0.102
"result.738",0.0287284864691598,0.211220724701091,0.164,2.57,-0.209,0.086,0.089,0.103
"result.739",0.404808934148766,0.940107747854527,0.02,2.349,0.068,0.083,0.08,0.101
